"Gene","AUC"
"Myadml2",1
"Il4i1",1
"4930554H23Rik",1
"Oas1h",1
"A830019L24Rik",1
"Cts8-ps",1
"Slco1c1",1
"Ceacam12",1
"Pld5",1
"Prg2",1
"Tm4sf5",1
"Klrb1f",1
"Gm1720",1
"Neurod4",1
"D030025E07Rik",1
"Slc4a1",1
"Best2",1
"Neurod6",1
"Sycn",1
"Krtap26-1",1
"2310002L09Rik",1
"Gm11985",1
"4930467D21Rik",1
"Olfr323",1
"Mfrp",1
"Ppm1n",1
"Csta1",1
"Emc8-1190005i06rik",1
"Galr1",1
"Klra17",1
"Traf3ip1",1
"Hes3",1
"3110099E03Rik",1
"Zim1",1
"Dbx2",1
"Fstl5",1
"4930578M01Rik",1
"Psg19",1
"Mir1931",1
"Kcna7",1
"Gsdmc",1
"Sypl2",1
"Cyp2j11",1
"Cd96",1
"Pcdhb1",1
"5430431A17Rik",1
"Tas2r135",1
"Fam65a",1
"Trat1",1
"Mir5133",1
