"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
-7.34465217637685,11.5936256468158,-86.7051448209888,4.16946307726526e-17,9.71762861207956e-14,28.8024063202205,"SPCC1223.02"
-6.91612273913625,12.2735885409945,-135.981390655199,2.79919506460894e-19,1.95719718917457e-15,31.7982826403871,"SPBC26H8.01"
-6.709894217584,12.0537099966457,-96.8905446808232,1.21313657883914e-17,4.24112547962162e-14,29.6523497418873,"SPNCRNA.1234"
-5.02825545204231,4.56961014130428,-14.9522089852874,1.02366900225893e-08,2.41807218371435e-07,10.2164912708135,"SPAC869.06c"
-4.60901578675771,12.6362924188325,-58.8354386825186,3.09327008030322e-15,3.60469073358002e-12,25.3475390292546,"SPAC9.10"
-4.32577831537066,8.52828249711731,-36.8916738209495,5.4372991102867e-13,1.65293892952716e-10,20.4726055935519,"SPNCRNA.504"
-3.99362137581654,5.40845136266918,-9.72029437169951,8.93979393140931e-07,7.70740310338025e-06,5.42745416245101,"SPAC212.08c"
-3.83429320846829,5.14569366901859,-18.9419117252588,8.07747254473851e-10,3.48627703906245e-08,12.9202395441344,"SPAC750.07c"
-3.78155259936691,5.1686903635074,-16.5989302376048,3.35152734052034e-09,1.01445364350295e-07,11.4078207758447,"SPAC212.12"
-3.75885741677369,5.34366684098635,-15.4142780984829,7.40152149924931e-09,1.86156252959537e-07,10.562839269926,"SPBCPT2R1.06c"
-3.67797430893697,7.60343921333831,-13.4103061224526,3.24028037594234e-08,5.75026405801748e-07,8.98404930655731,"SPAC4F8.08"
-3.63252063287516,12.1774057979613,-31.8233809277497,2.77620032532041e-12,5.24626829044332e-10,18.8320797562438,"SPBC19C7.04c"
-3.53667121132404,3.63180017914898,-10.4595445392272,4.25989485552792e-07,4.28563810501457e-06,6.22251338524874,"SPAC212.10"
-3.49366914542185,11.0964671503485,-43.8380698347718,8.06955379785906e-14,4.03016572533075e-11,22.3393400034917,"SPAC3G9.11c"
-3.39586938125766,12.6310305669277,-50.727952480882,1.60165495578085e-14,1.01499098729204e-11,23.8643618101517,"SPNCRNA.111"
-3.29641244449237,2.21045831507118,-8.44941393847542,3.5779843559577e-06,2.30786592406423e-05,3.94083269977378,"SPNCRNA.319"
-3.14700737412972,10.5446178104273,-50.3450605164105,1.74197537864766e-14,1.01499098729204e-11,23.7866658452718,"SPAC26F1.14c"
-3.12895811263982,6.723722571427,-16.7701418083359,3.00197275953855e-09,9.5843806094491e-08,11.5251493948506,"SPNCRNA.312"
-3.09362464018677,7.31167586985409,-34.1595188922664,1.27135981831325e-12,3.17476708915936e-10,19.6224338993601,"SPNCRNA.130"
-2.94587181722586,4.12059358943804,-13.1934249770362,3.84660672982414e-08,6.49649136592522e-07,8.80038176611937,"SPNCRNA.1256"
-2.83062882619679,10.4225897343775,-39.2619075081614,2.73237822836276e-13,9.55239428635621e-11,21.1532670808187,"SPCC31H12.06"
-2.82520253074594,4.03206481052377,-13.5898091472481,2.81666402019882e-08,5.14206653504703e-07,9.13403471990982,"SPNCRNA.549"
-2.81510665838441,13.5656207358575,-42.3595947351269,1.17965696042571e-13,5.49877431153103e-11,21.9730903450369,"SPAC1002.19"
-2.70446394537327,3.85693905278188,-10.9256808522012,2.72872314468227e-07,2.98113003556538e-06,6.70026164868985,"SPAC212.07c"
-2.68620035470197,11.1247266019486,-31.6616316049255,2.93650762341673e-12,5.26463110331534e-10,18.7749777131075,"SPAC806.11"
-2.67666090920188,11.054979593221,-31.9851875257817,2.6253247331181e-12,5.0989640372116e-10,18.888880812512,"SPNCRNA.03"
-2.66059187975074,11.8380856100827,-48.7565865109199,2.48514798691678e-14,1.3366272865017e-11,23.4560297794441,"SPAC140.01"
-2.64103928836235,7.87324945824585,-13.1082176339296,4.11759545989126e-08,6.87117600371353e-07,8.72747518738682,"SPBP4G3.03"
-2.62211579048669,4.56425287885597,-10.2441027456705,5.26307179630364e-07,5.06878760327205e-06,5.99568650599852,"SPNCRNA.1122"
-2.61472125992944,4.16220141419774,-12.935015479365,4.73447906672222e-08,7.55540546602348e-07,8.57795096558039,"SPBCPT2R1.10"
-2.54319774037407,12.7140114987825,-35.641240916926,7.95709482554776e-13,2.139846423855e-10,20.0927637922642,"SPAC1002.17c"
-2.53580694320342,12.2488201709363,-24.7276009864027,4.43535855461889e-11,3.52409397885174e-09,15.9747040768612,"SPCC757.07c"
-2.5138206088753,2.09583499504577,-6.54915685271452,3.91727542214565e-05,0.00016054859174468,1.38322212482606,"SPNCRNA.70"
-2.51291130248076,7.84266980567479,-22.800689199812,1.07653904958054e-10,6.92863117706383e-09,15.046735859071,"SPNCRNA.1695"
-2.46285745554636,4.41882388870893,-9.37331540859994,1.28624071807086e-06,1.0048486146091e-05,5.03733500563561,"SPNCRNA.512"
-2.43950673151319,10.0356076791672,-53.4599059404144,8.95358258183827e-15,6.95593882357924e-12,24.3974288128272,"SPCC18B5.05c"
