"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"Cuzd1",-4.38756432433333,-0.563697554833333,-10.168443009858,7.27421074817667e-05,0.374806254256395,0.961330108194038,16241
"Crisp1",-3.39033146866667,-0.153952567,-3.80722394382231,0.00980729461094204,0.56495848464513,-2.24467233663267,15584
"Tmem181c-ps",-3.18453653233333,1.20187202316667,-3.44788030908664,0.0148441774115121,0.593167330418789,-2.6004219180311,15043
"Gm8146",-2.51925377033333,-0.808784017166667,-4.78538243441798,0.00350260304400442,0.46855146736625,-1.40318316710824,2544
"4930562C15Rik",-2.46587233566667,0.839664569166667,-2.58948971329007,0.0432463656693903,0.683483795094824,-3.54575213936637,6868
"1700122H20Rik",-2.32506759433333,-1.1902841015,-7.22102358901862,0.00045144831811696,0.374806254256395,0.0239806920084353,15289
"Cd74",-2.26407485066667,3.57696973433333,-2.74598058752756,0.0353105630695078,0.6680667536685,-3.36466935708221,8946
"Gm4366",-2.066275184,3.38049963466667,-3.31249685136594,0.0174435596263389,0.606241795595793,-2.74095174809051,8705
"Siglece",-2.06298057833333,0.760736397833333,-3.201760093275,0.0199466324120695,0.619764472909373,-2.85846591478431,8482
"Gm8719",-2.028437192,-0.559069269,-5.52484515500798,0.00175443441305337,0.46165443454961,-0.880697459548963,5669
"Ms4a4b",-1.89580872033333,-0.674804439833333,-3.78886583217651,0.0100123138406119,0.56495848464513,-2.26223194644284,5885
"LOC102640328",-1.87303655633333,0.744983391833333,-2.87864775784371,0.0298104650225205,0.653875078720582,-3.21383461223789,15239
"Kcnj16",-1.83016932866667,-0.861458347,-6.34436650176489,0.000878694668642378,0.390757893995721,-0.398595755540027,16091
"Cdh16",-1.81999820266667,0.842563976,-2.49129481422386,0.0491884002958954,0.697111058112543,-3.66088110017014,11348
"Gzma",-1.792690506,-0.764538788,-2.65479213330358,0.0397232172283223,0.680054627102237,-3.46980305969707,8433
"Ctsw",-1.782368406,-0.912048315333333,-3.00911024900328,0.0252991777896832,0.642317013287218,-3.06819907438387,6678
"Gm1604a",-1.65343241233333,1.6331436865,-10.8609614602706,5.07878272083764e-05,0.374806254256395,1.10827091037061,12056
"Slc52a3",-1.62819381766667,0.2664668285,-4.56965062329106,0.00434367079164579,0.490558590633423,-1.57330209243322,14256
"Ccr5",-1.62687558633333,-0.590400129833333,-5.34368390849169,0.00206515761300618,0.46165443454961,-1.00045261743092,6946
"Hoxb8",-1.62609774066667,-0.548432264666667,-4.86179678779551,0.00325047005945046,0.46165443454961,-1.34492164114889,15305
"AW112010",-1.62455580466667,1.26618748033333,-2.83076317405672,0.0316802804340223,0.654060070357121,-3.26797138251285,13552
"Ccl28",-1.59931339333333,0.688402740333333,-3.1417736450282,0.0214661971499452,0.619764472909373,-2.92306467224627,5067
"Napsa",-1.576764717,-0.495882479833333,-2.80317283520176,0.0328151834938555,0.657196331828197,-3.29932304967735,10816
"Gm11335",-1.55376725033333,0.1922412915,-6.22980470566382,0.000963738598799356,0.397776725231162,-0.460514298401625,13250
"Gm33819",-1.552310565,-1.29040215516667,-2.89910656987449,0.0290484770219224,0.650271722842141,-3.19081375434939,6227
"Hcn1",-1.54607789233333,-0.201382653833333,-3.55486554104103,0.0130933850413132,0.577392060288051,-2.49186503538312,4104
"Plet1",-1.52653073466667,1.025805905,-4.46836493848401,0.00481628794023401,0.490819842135128,-1.65610662589599,13042
"Pdyn",-1.51911913733333,-0.261299699666667,-2.85456197639233,0.0307355244266838,0.654060070357121,-3.24102091486125,8149
"Tagap",-1.518160635,1.86147663416667,-3.9234867262305,0.00861327922528928,0.558604147384058,-2.13500808795077,4246
"Cd5l",-1.512513895,0.0608265448333333,-2.61746468849437,0.0416976568485722,0.683483795094824,-3.51315228577922,9361
"Anxa8",-1.508968687,-0.6247019595,-2.59523369007887,0.0429234170305347,0.683483795094824,-3.53905094811835,7481
"Ptpn5",-1.496757137,0.100054603166667,-3.72772797594882,0.010730527481596,0.56495848464513,-2.32118946761602,1716
"Saa3",-1.49346208633333,-1.0747878565,-3.03180368075303,0.0245935054265865,0.637262265022133,-3.04315558989127,12686
"Rxfp2",-1.457946555,-1.20600327683333,-3.6320989922878,0.0119725310239456,0.572531295683531,-2.41488382802749,2626
"Lrrc31",-1.41314209233333,-0.291053136166667,-3.30418651603426,0.0176188254891354,0.606241795595793,-2.74969133436761,1471
"Ccl5",-1.40371333566667,-1.04482371983333,-2.98703316220646,0.0260069991394088,0.642317013287218,-3.09264623741125,7424
"Atp6v0a4",-1.381634167,-0.9378017755,-4.13644808167724,0.00682677005226011,0.513180824296623,-1.94101123255993,10116
"1700041A01Rik",-1.340916317,-1.16915548583333,-4.12244867972694,0.00693043333166927,0.513180824296623,-1.9534923329607,15792
"Syne4",-1.32111621933333,0.418147050333333,-3.71482721745525,0.0108893460803386,0.56495848464513,-2.33372424060643,1056
"Gbp5",-1.31306583833333,1.61708908083333,-2.68771735025056,0.0380649588491006,0.669877924343872,-3.43171395804225,2528
"Gm14164",-1.29974482733333,-1.29871072433333,-2.95647828273191,0.0270225896921729,0.646361091991265,-3.12661601298195,13002
"Rsph4a",-1.29113532666667,-1.31438471366667,-5.2087882324621,0.00233780678173877,0.46165443454961,-1.09299919551676,15291
"Gm32970",-1.278957114,0.533772564666667,-2.84292874081189,0.0311934555845748,0.654060070357121,-3.25418389036821,1431
"2310069G16Rik",-1.272623745,-1.1100959045,-4.89097095260299,0.0031597209211635,0.46165443454961,-1.32294834883997,3261
"Ms4a6b",-1.24923317533333,0.420769014,-4.92048285042002,0.00307085203090182,0.46165443454961,-1.30087141592737,3447
"Clec4a2",-1.198967739,-0.552259534166667,-2.7880658474279,0.0334552105191441,0.657196331828197,-3.31653761622462,10498
"Pvrig",-1.19132463766667,-0.8659510605,-3.15375236695248,0.0211528522731003,0.619764472909373,-2.91011291530711,15057
"Gm26740",-1.190707325,-0.281067356166667,-2.907792994672,0.0287313876555939,0.650271722842141,-3.18105965694029,15791
"Gm30119",-1.18069008833333,-1.44664527583333,-3.87756794011183,0.00906418431690901,0.562041328326386,-2.17800275401989,14913
"Gm5532",-1.17310928366667,0.2047747225,-4.52091099156188,0.00456418291290214,0.490558590633423,-1.61291118388607,1895
"Slit1",-1.16514589066667,-0.833005816,-7.99744098649977,0.000264101984644254,0.374806254256395,0.333008174626026,10649
"Gpr75",-1.16023293833333,-0.3856833585,-3.88348626524718,0.00900460548771436,0.562041328326386,-2.17243801868254,15616
"Ly6c1",-1.15813812833333,2.59641096683333,-7.51495551050421,0.000366509233866586,0.374806254256395,0.147467540539474,11992
"LOC547349",-1.15363674666667,0.505621416,-2.50731542259622,0.0481623189184009,0.697111058112543,-3.64202768282786,14224
"Gm10433",-1.14842998033333,-1.0121453535,-6.19531266561056,0.000991178177615027,0.397776725231162,-0.479486440347076,5721
"Gm34324",-1.14134237766667,0.372915411833333,-3.75635931611436,0.010387235861134,0.56495848464513,-2.29348749709211,8644
"Ly6a",-1.140322903,1.74152181883333,-7.52590562198549,0.000363722611320709,0.374806254256395,0.151908697725216,5259
"Gm46211",-1.13644453333333,0.467127416333333,-6.21906368640086,0.000972188350770508,0.397776725231162,-0.466405796734702,14210
"Xdh",-1.12924088666667,2.80969303866667,-7.11989362796221,0.000485806386517213,0.374806254256395,-0.0204795604599441,4578
"4921509O07Rik",-1.119904708,1.583530624,-3.41435932515774,0.0154451702210999,0.593167330418789,-2.63489084713083,6526
"BC147527",-1.1143551,-1.52807501033333,-2.88597438072197,0.0295351132793989,0.653875078720582,-3.20558286911568,9877
"0610040F04Rik",-1.0911225,-0.685475431,-7.41247763378107,0.000393825255453623,0.374806254256395,0.105359315104201,9809
"Btnl9",-1.08849132466667,-0.285167281333333,-5.65422475419308,0.00156527736277243,0.449776127110565,-0.798250181020713,4276
"Lad1",-1.08621513633333,-0.800395011166667,-2.9232579750916,0.0281761476889084,0.650271722842141,-3.16372380676004,15982
"9130008F23Rik",-1.07429933,1.827782584,-5.44986299998651,0.00187603552454885,0.46165443454961,-0.92964455536571,5124
