"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"Gm6166",6.089186165,1.3090517315,11.8574366709988,3.13776027455674e-05,0.374806254256395,1.28708748904877,11837
"Gm6407",2.984211893,-1.24777870616667,6.66608057612549,0.000682576788579296,0.374806254256395,-0.233376756055757,15037
"Dynlt1a",2.43484710166667,0.731918207166667,4.5748655636786,0.00432080273393429,0.490558590633423,-1.56909000819667,11508
"Mug1",2.031896475,1.49209669283333,3.06416724655574,0.0236241606455847,0.637019429294092,-3.00759359411982,718
"Epb42",1.99703937033333,-0.2155637125,2.72976977678174,0.0360546540207626,0.6680667536685,-3.38327647608617,1118
"Kcnq3",1.831594711,-0.1671732715,4.65187515228428,0.00399856032024335,0.488012266054659,-1.50746922627066,4223
"F13b",1.78829728666667,-0.939951424666667,3.8754000874158,0.00908611847178914,0.562041328326386,-2.18004281397021,1456
"Crtam",1.755297604,-0.440089583666667,3.03442816579433,0.0245132953117543,0.637081335497951,-3.04026500266877,8919
"Upp2",1.69938811833333,-0.0372442988333334,3.57504618432792,0.0127896179038816,0.577392060288051,-2.47163765099445,1051
"Vtn",1.68621195733333,1.75069343633333,5.00241699784492,0.00283871682464857,0.46165443454961,-1.24036675798799,4675
"Lefty2",1.62040548466667,-1.09630413866667,2.57873706291773,0.0438579384068538,0.686941522694222,-3.55830705659988,874
"Gm867",1.61727672433333,-0.6073500815,2.70160421235806,0.0373880466413621,0.669877924343872,-3.41569203864136,271
"Sowaha",1.60375838066667,-0.940829190666667,4.28270041875073,0.00584245158103138,0.49921621714946,-1.81288395167393,1556
"Ermap",1.58671926033333,1.60790717783333,4.65101208161682,0.00400201684624443,0.488012266054659,-1.50815384076264,1328
"Slc6a16",1.492437863,-1.19968023583333,6.77676230090004,0.000627183428264766,0.374806254256395,-0.179356328632073,13360
"Pot1b",1.49142068333333,-1.15993336366667,4.61359089954043,0.00415520772257912,0.490558590633423,-1.53796777196409,13860
"Myh6",1.47884224233333,1.71327963916667,3.16535398808543,0.0208541645134671,0.619764472909373,-2.89759352919965,497
"Inmt",1.47171825733333,-0.472825718333333,3.40418129960451,0.015632961786362,0.593167330418789,-2.64539942104137,987
"Tmod1",1.42998920633333,0.281703893166667,4.1986827367584,0.00638664221725482,0.513180824296623,-1.8859856106851,1132
"Cntnap5a",1.39306143666667,1.033031938,3.45769777023579,0.0146731156066321,0.593167330418789,-2.59036780460325,3097
"Gm46894",1.37687169166667,-0.805332932833333,3.68123795698603,0.011315342263109,0.565904685705763,-2.36651430964753,14511
"Rpph1",1.35858271266667,1.033780638,2.79845057881372,0.0330138106872533,0.657196331828197,-3.30470048602354,341
"Dner",1.32374558933333,2.370137997,3.80005104410909,0.00988683419576434,0.56495848464513,-2.25152533872557,2292
"Slc2a2",1.32335039933333,-1.71884498533333,2.55148922418411,0.0454495240968567,0.69524351943467,-3.59018117496038,8649
"Mill2",1.32308879966667,3.32568420416667,7.53992669639369,0.00036019030454147,0.374806254256395,0.157579139396002,7515
"Gjb1",1.31709428,0.429350043666667,2.69741602854147,0.0375908219578346,0.669877924343872,-3.42052141696977,347
"Tnnc1",1.28017396366667,1.00069345316667,2.5824927894065,0.0436432800900439,0.68652631988679,-3.5539203003463,8727
"Hsd17b13",1.215502635,-0.875189988833333,2.56244102445616,0.0448025113204696,0.689598242532279,-3.57735985464146,6658
"Gm28363",1.19743326666667,-0.966476042,2.49876293278159,0.0487072182522935,0.697111058112543,-3.6520892361087,12689
"Dpys",1.176394846,-0.864142041666667,3.38270604215746,0.0160375660945138,0.593167330418789,-2.66763719308091,804
"Pbld1",1.17139905633333,-1.06542913016667,2.49409204034143,0.0490075806735032,0.697111058112543,-3.65758740634756,368
"Loxhd1",1.171133009,1.11774975016667,2.73392002949974,0.0358625541408003,0.6680667536685,-3.37850922403202,12914
